epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.2575,1.28848,3.3421,1.26251,0.33156,0.31425,0.25216,0.18214,1.18909,2.40398,1.1288,9.19312e-05,9.19312e-05,9.19312e-05
2,73.9095,0.92948,1.49136,1.05109,0.56639,0.41606,0.43015,0.30905,1.06131,1.79191,1.08552,0.00018277,0.00018277,0.00018277
3,111.017,0.83434,1.12202,0.99392,0.52802,0.5727,0.53361,0.39613,0.96625,1.50049,1.03238,0.000271775,0.000271775,0.000271775
4,150.32,0.78728,0.96881,0.97966,0.63654,0.56314,0.59747,0.4345,0.91544,1.29917,1.00223,0.000269743,0.000269743,0.000269743
5,187.716,0.7251,0.84314,0.9587,0.56203,0.60847,0.60385,0.44575,0.88323,1.30471,0.98932,0.000266991,0.000266991,0.000266991
6,226.217,0.70869,0.80916,0.94489,0.56914,0.64052,0.67223,0.51475,0.83688,1.18271,0.96466,0.000264239,0.000264239,0.000264239
7,263.955,0.67996,0.7528,0.93115,0.53466,0.67731,0.66214,0.50581,0.83831,1.15561,0.9786,0.000261487,0.000261487,0.000261487
8,301.847,0.63809,0.70123,0.92274,0.58325,0.72756,0.68547,0.51342,0.85814,1.11505,0.97936,0.000258735,0.000258735,0.000258735
9,339.569,0.61786,0.65375,0.9089,0.52787,0.78658,0.69152,0.52923,0.79351,1.04372,0.95221,0.000255982,0.000255982,0.000255982
10,378.244,0.59829,0.63879,0.9047,0.53277,0.82591,0.68937,0.52278,0.83593,1.04617,0.96569,0.00025323,0.00025323,0.00025323
11,415.83,0.57745,0.62131,0.89635,0.51599,0.84201,0.69793,0.53729,0.80811,1.04502,0.96542,0.000250478,0.000250478,0.000250478
12,454.028,0.56018,0.59496,0.89055,0.54671,0.79568,0.69283,0.53407,0.79686,1.10852,0.95956,0.000247726,0.000247726,0.000247726
13,491.672,0.54857,0.57871,0.8848,0.56198,0.76902,0.70447,0.5444,0.77934,1.00116,0.9518,0.000244974,0.000244974,0.000244974
14,529.965,0.53926,0.57142,0.88353,0.52444,0.82572,0.70149,0.55684,0.74763,1.00748,0.93814,0.000242221,0.000242221,0.000242221
15,567.528,0.52548,0.55786,0.88102,0.55115,0.84988,0.69756,0.54132,0.76418,0.98169,0.94816,0.000239469,0.000239469,0.000239469
16,605.661,0.5123,0.54365,0.87598,0.51852,0.8536,0.6872,0.54137,0.7586,1.02045,0.94151,0.000236717,0.000236717,0.000236717
17,643.233,0.50481,0.54602,0.8709,0.53235,0.84176,0.68485,0.54598,0.75041,0.99554,0.93944,0.000233965,0.000233965,0.000233965
18,681.052,0.48936,0.52617,0.86891,0.55356,0.83449,0.69025,0.54694,0.76232,0.99591,0.94372,0.000231213,0.000231213,0.000231213
19,718.871,0.4807,0.51597,0.86482,0.52092,0.87485,0.69655,0.54886,0.77117,1.02407,0.95496,0.00022846,0.00022846,0.00022846
20,756.483,0.46448,0.49975,0.86292,0.52437,0.87138,0.6962,0.55109,0.77713,0.97063,0.95613,0.000225708,0.000225708,0.000225708
21,794.414,0.46907,0.50909,0.86263,0.54043,0.86563,0.6921,0.54499,0.74898,1.07319,0.95246,0.000222956,0.000222956,0.000222956
22,832.105,0.4605,0.4945,0.8568,0.53107,0.87352,0.70122,0.55548,0.75471,0.99563,0.94148,0.000220204,0.000220204,0.000220204
23,869.999,0.45327,0.4934,0.86067,0.53446,0.86344,0.6838,0.53878,0.77797,0.96821,0.95976,0.000217452,0.000217452,0.000217452
24,907.659,0.44738,0.48804,0.85471,0.55604,0.86855,0.69352,0.54871,0.77836,1.0176,0.9576,0.000214699,0.000214699,0.000214699
25,945.439,0.43912,0.48686,0.85388,0.53498,0.8812,0.7096,0.56606,0.73792,0.97952,0.93726,0.000211947,0.000211947,0.000211947
26,983.323,0.43465,0.4776,0.8512,0.54717,0.89442,0.68937,0.54945,0.75492,0.97763,0.95197,0.000209195,0.000209195,0.000209195
27,1021.14,0.42817,0.47418,0.84953,0.52308,0.87741,0.67396,0.54047,0.70881,0.98702,0.92646,0.000206443,0.000206443,0.000206443
28,1058.83,0.42662,0.46644,0.84751,0.58712,0.83888,0.70901,0.56753,0.70897,0.98784,0.93094,0.000203691,0.000203691,0.000203691
29,1097.14,0.41572,0.45227,0.84658,0.56022,0.87823,0.70651,0.57634,0.71197,1.00578,0.93375,0.000200938,0.000200938,0.000200938
30,1134.89,0.41309,0.44335,0.84671,0.57496,0.80141,0.71309,0.57358,0.72276,1.00246,0.93868,0.000198186,0.000198186,0.000198186
31,1172.7,0.409,0.45513,0.84796,0.55053,0.85183,0.71219,0.58284,0.71437,1.00225,0.93677,0.000195434,0.000195434,0.000195434
32,1210.55,0.40424,0.44684,0.84593,0.54183,0.87816,0.70312,0.56738,0.73289,1.04764,0.94922,0.000192682,0.000192682,0.000192682
33,1248.38,0.39931,0.44448,0.84486,0.55216,0.88808,0.70334,0.56901,0.72089,0.9913,0.94211,0.00018993,0.00018993,0.00018993
